Country Code,Year,data_quality_life_expectancy,Income,Population,Country,Region
afg,1981,2,1330,13171679,Afghanistan,asia
afg,1982,2,1476,12882518,Afghanistan,asia
afg,1983,2,1566,12537732,Afghanistan,asia
afg,1984,2,1554,12204306,Afghanistan,asia
afg,1985,2,1516,11938204,Afghanistan,asia
afg,1986,2,1562,11736177,Afghanistan,asia
afg,1987,2,1408,11604538,Afghanistan,asia
afg,1988,2,1280,11618008,Afghanistan,asia
afg,1989,2,1161,11868873,Afghanistan,asia
afg,1990,2,1119,12412311,Afghanistan,asia
afg,1991,2,1024,13299016,Afghanistan,asia
afg,1992,2,981,14485543,Afghanistan,asia
afg,1993,2,672,15816601,Afghanistan,asia
afg,1994,2,498,17075728,Afghanistan,asia
afg,1995,2,736,18110662,Afghanistan,asia
afg,1996,2,698,18853444,Afghanistan,asia
afg,1997,2,663,19357126,Afghanistan,asia
afg,1998,2,634,19737770,Afghanistan,asia
afg,1999,2,603,20170847,Afghanistan,asia
afg,2000,2,584,20779957,Afghanistan,asia
afg,2001,2,569,21606992,Afghanistan,asia
afg,2002,2,1190,22600774,Afghanistan,asia
afg,2003,2,1236,23680871,Afghanistan,asia
afg,2004,2,1200,24726689,Afghanistan,asia
afg,2005,2,1287,25654274,Afghanistan,asia
afg,2006,2,1316,26433058,Afghanistan,asia
afg,2007,2,1461,27100542,Afghanistan,asia
afg,2008,2,1484,27722281,Afghanistan,asia
afg,2009,2,1759,28394806,Afghanistan,asia
afg,2010,2,1957,29185511,Afghanistan,asia
afg,2011,2,1905,30117411,Afghanistan,asia
afg,2012,2,2075,31161378,Afghanistan,asia
afg,2013,4,2116,32269592,Afghanistan,asia
afg,2014,4,2102,33370804,Afghanistan,asia
ago,1800,4,700,1567028,Angola,africa
ago,1801,4,702,1567028,Angola,africa
ago,1802,4,705,1567028,Angola,africa
ago,1803,4,709,1567028,Angola,africa
ago,1804,4,711,1567028,Angola,africa
ago,1805,4,714,1567028,Angola,africa
ago,1806,4,718,1567028,Angola,africa
ago,1807,4,721,1567028,Angola,africa
ago,1808,4,725,1567028,Angola,africa
ago,1809,4,727,1567028,Angola,africa
ago,1810,4,730,1567028,Angola,africa
ago,1811,4,734,1567028,Angola,africa
ago,1812,4,737,1567028,Angola,africa
ago,1813,4,740,1567028,Angola,africa
ago,1814,4,744,1567028,Angola,africa
ago,1815,4,747,1567028,Angola,africa
ago,1816,4,749,1567028,Angola,africa
ago,1817,4,753,1567028,Angola,africa
ago,1818,4,756,1567028,Angola,africa
ago,1819,4,760,1571640,Angola,africa
ago,1820,4,763,1580933,Angola,africa
ago,1821,4,764,1594974,Angola,africa
ago,1822,4,764,1613834,Angola,africa
ago,1823,4,765,1637584,Angola,africa
ago,1824,4,766,1661683,Angola,africa
ago,1825,4,766,1686138,Angola,africa
ago,1826,4,767,1710952,Angola,africa
ago,1827,4,767,1736131,Angola,africa
ago,1828,4,768,1761680,Angola,africa
ago,1829,4,768,1787606,Angola,africa
ago,1830,4,769,1813913,Angola,africa
ago,1831,4,770,1840608,Angola,africa
ago,1832,4,771,1867695,Angola,africa
ago,1833,4,771,1895181,Angola,africa
ago,1834,4,772,1923071,Angola,africa
ago,1835,4,772,1951372,Angola,africa
ago,1836,4,772,1980089,Angola,africa
ago,1837,4,773,2009229,Angola,africa
ago,1838,4,774,2038798,Angola,africa
ago,1839,4,774,2068802,Angola,africa
ago,1840,4,774,2099247,Angola,africa
ago,1841,4,775,2130141,Angola,africa
ago,1842,4,776,2161489,Angola,africa
ago,1843,4,776,2193299,Angola,africa
ago,1844,4,776,2225576,Angola,africa
ago,1845,4,776,2258329,Angola,africa
ago,1846,4,777,2291563,Angola,africa
ago,1847,4,777,2325287,Angola,africa
ago,1848,4,777,2359507,Angola,africa
ago,1849,4,778,2390443,Angola,africa
ago,1850,4,778,2418020,Angola,africa
ago,1851,4,779,2445639,Angola,africa
ago,1852,4,779,2469804,Angola,africa
ago,1853,4,779,2490423,Angola,africa
ago,1854,4,780,2511209,Angola,africa
ago,1855,4,780,2532163,Angola,africa
ago,1856,4,781,2553287,Angola,africa
ago,1857,4,781,2574582,Angola,africa
ago,1858,4,781,2596050,Angola,africa
ago,1859,4,781,2617734,Angola,africa
ago,1860,4,782,2639636,Angola,africa
ago,1861,4,781,2661759,Angola,africa
ago,1862,4,782,2684105,Angola,africa
ago,1863,4,782,2706676,Angola,africa
ago,1864,4,782,2729431,Angola,africa
ago,1865,4,783,2752372,Angola,africa
ago,1866,4,782,2775501,Angola,africa
ago,1867,4,783,2798819,Angola,africa
ago,1868,4,782,2822327,Angola,africa
ago,1869,4,783,2844907,Angola,africa
ago,1870,4,783,2866541,Angola,africa
ago,1871,4,784,2887214,Angola,africa
ago,1872,4,783,2906908,Angola,africa
ago,1873,4,783,2925605,Angola,africa
ago,1874,4,784,2944418,Angola,africa
ago,1875,4,783,2963345,Angola,africa
ago,1876,4,783,2982389,Angola,africa
ago,1877,4,783,3001550,Angola,africa
ago,1878,4,783,3020828,Angola,africa
ago,1879,4,784,3040210,Angola,africa
ago,1880,4,784,3059698,Angola,africa
ago,1881,4,783,3079292,Angola,africa
ago,1882,4,783,3098992,Angola,africa
ago,1883,4,783,3118798,Angola,africa
ago,1884,4,783,3138726,Angola,africa
ago,1885,4,783,3158775,Angola,africa
ago,1886,4,783,3178946,Angola,africa
ago,1887,4,782,3199240,Angola,africa
ago,1888,4,782,3219658,Angola,africa
ago,1889,4,782,3233687,Angola,africa
ago,1890,4,782,3241303,Angola,africa
ago,1891,4,782,3242479,Angola,africa
ago,1892,4,781,3237188,Angola,africa
ago,1893,4,781,3225405,Angola,africa
ago,1894,4,781,3213659,Angola,africa
ago,1895,4,780,3201949,Angola,africa
ago,1896,4,780,3190277,Angola,africa
ago,1897,4,780,3178642,Angola,africa
ago,1898,4,780,3167043,Angola,africa
ago,1899,4,779,3153583,Angola,africa
ago,1900,4,779,3138277,Angola,africa
ago,1901,4,778,3121144,Angola,africa
ago,1902,4,778,3102199,Angola,africa
ago,1903,4,777,3081459,Angola,africa
ago,1904,4,777,3060853,Angola,africa
ago,1905,4,776,3040379,Angola,africa
ago,1906,4,776,3020037,Angola,africa
ago,1907,4,775,2999825,Angola,africa
ago,1908,4,774,2979744,Angola,africa
ago,1909,4,774,2962141,Angola,africa
ago,1910,4,774,2946996,Angola,africa
ago,1911,4,773,2934290,Angola,africa
ago,1912,4,772,2924003,Angola,africa
ago,1913,4,771,2916116,Angola,africa
ago,1914,4,791,2908245,Angola,africa
ago,1915,4,810,2900390,Angola,africa
ago,1916,4,830,2892552,Angola,africa
ago,1917,3,850,2884730,Angola,africa
ago,1918,3,870,2873191,Angola,africa
ago,1919,3,891,2872529,Angola,africa
ago,1920,4,912,2882863,Angola,africa
ago,1921,4,937,2904314,Angola,africa
ago,1922,4,961,2937004,Angola,africa
ago,1923,4,986,2981059,Angola,africa
ago,1924,4,1012,3025775,Angola,africa
ago,1925,4,1039,3071162,Angola,africa
ago,1926,4,1065,3117230,Angola,africa
ago,1927,4,1093,3163988,Angola,africa
ago,1928,4,1121,3211448,Angola,africa
ago,1929,4,1151,3258958,Angola,africa
ago,1930,4,1181,3306510,Angola,africa
ago,1931,4,1211,3354095,Angola,africa
ago,1932,4,1242,3401704,Angola,africa
ago,1933,4,1274,3449328,Angola,africa
ago,1934,4,1306,3497619,Angola,africa
ago,1935,4,1340,3546586,Angola,africa
ago,1936,4,1375,3596238,Angola,africa
ago,1937,4,1410,3646585,Angola,africa
ago,1938,4,1445,3697637,Angola,africa
ago,1939,4,1483,3752445,Angola,africa
ago,1940,4,1520,3811116,Angola,africa
ago,1941,4,1559,3873759,Angola,africa
ago,1942,4,1598,3940488,Angola,africa
ago,1943,4,1639,4011417,Angola,africa
ago,1944,4,1680,4083622,Angola,africa
ago,1945,4,1722,4157127,Angola,africa
ago,1946,4,1766,4231956,Angola,africa
ago,1947,4,1810,4308131,Angola,africa
ago,1948,4,1856,4385677,Angola,africa
ago,1949,4,1902,4465620,Angola,africa
ago,1950,2,1949,4548021,Angola,africa
ago,1951,2,1994,4616552,Angola,africa
ago,1952,2,2040,4713160,Angola,africa
ago,1953,2,2087,4823330,Angola,africa
ago,1954,2,1999,4935956,Angola,africa
ago,1955,2,2127,5043251,Angola,africa
ago,1956,2,2056,5140910,Angola,africa
ago,1957,2,2218,5228005,Angola,africa
ago,1958,2,2299,5306538,Angola,africa
ago,1959,2,2270,5380718,Angola,africa
ago,1960,2,2321,5454938,Angola,africa
ago,1961,2,2586,5531451,Angola,africa
ago,1962,2,2474,5608499,Angola,africa
ago,1963,2,2557,5679409,Angola,africa
ago,1964,2,2798,5734995,Angola,africa
ago,1965,2,2957,5770573,Angola,africa
ago,1966,2,3076,5781305,Angola,africa
ago,1967,2,3200,5774440,Angola,africa
ago,1968,2,3098,5771973,Angola,africa
ago,1969,2,3133,5803677,Angola,africa
ago,1970,2,3276,5890360,Angola,africa
ago,1971,2,3201,6041239,Angola,africa
ago,1972,2,3172,6248965,Angola,africa
ago,1973,2,3315,6497283,Angola,africa
ago,1974,2,3170,6761623,Angola,africa
ago,1975,2,1988,7023994,Angola,africa
ago,1976,2,1768,7279630,Angola,africa
ago,1977,2,1744,7533814,Angola,africa
ago,1978,2,1779,7790774,Angola,africa
ago,1979,2,1775,8058112,Angola,africa
ago,1980,2,1781,8341290,Angola,africa
ago,1981,2,1710,8640478,Angola,africa
ago,1982,2,1597,8952971,Angola,africa
ago,1983,2,1497,9278104,Angola,africa
ago,1984,2,1464,9614756,Angola,africa
ago,1985,2,1444,9961993,Angola,africa
ago,1986,2,1286,10320116,Angola,africa
ago,1987,2,1408,10689247,Angola,africa
ago,1988,2,1581,11068051,Angola,africa
